Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,Scolopax,Scolopax,17,25,3.41,1,NO_ANNOT,,,Exact,0,"Scolopax Linnaeus, 1758",Scolopax,6455D,1,Catalogue of Life,
1,Stenopus,Stenopus,63,71,5.73,1,NO_ANNOT,,,Exact,0,"Stenopus Latreille, 1819",Stenopus,87HF7,1,Catalogue of Life,
2,Stenotrema,Stenotrema,76,86,5.92,1,NO_ANNOT,,,Exact,0,"Stenotrema Rafinesque, 1819",Stenotrema,7PHH5,1,Catalogue of Life,
3,Stephanoceros,Stephanoceros,95,108,5.71,1,NO_ANNOT,,,Exact,0,Stephanoceros,Stephanoceros,7N2D,1,Catalogue of Life,
4,Scops,Scops,113,118,3.55,1,NO_ANNOT,,,Exact,0,"Scops Gray, 1840",Scops,urn:lsid:irmng.org:taxname:1187006,181,IRMNG,
5,Sciurus,Sciurus,126,133,5.01,1,NO_ANNOT,,,Exact,0,"Sciurus Linnaeus, 1758",Sciurus,63TBP,1,Catalogue of Life,
6,Sialia,Sialia,152,158,3.85,1,NO_ANNOT,,,Exact,0,"Sialia Swainson, 1827",Sialia,644QP,1,Catalogue of Life,
7,Sitta,Sitta,179,184,4.00,1,NO_ANNOT,,,Exact,0,"Sitta Linnaeus, 1758",Sitta,7HWK,1,Catalogue of Life,
8,Smerinthus,Smerinthus,189,199,4.99,1,NO_ANNOT,,,Exact,0,Smerinthus,Smerinthus,7J4S,1,Catalogue of Life,
9,Solenodon,Solenodon,214,223,4.18,1,NO_ANNOT,,,Exact,0,"Solenodon Brandt, 1833",Solenodon,7JF9,1,Catalogue of Life,
10,Sparvius,Sparvius,228,236,4.81,1,NO_ANNOT,,,Exact,0,"Sparvius Vieillot, 1816",Sparvius,urn:lsid:irmng.org:taxname:1386530,181,IRMNG,
11,Strix,Strix,245,250,4.27,1,NO_ANNOT,,,Exact,0,"Strix Linnaeus, 1758",Strix,7PCR,1,Catalogue of Life,
12,Strophia,Strophia,271,279,4.25,1,NO_ANNOT,,,Exact,0,"Strophia Robiche, 2004",Strophia,urn:lsid:irmng.org:taxname:1379870,181,IRMNG,
13,Sturnella,Sturnella,292,301,6.20,1,NO_ANNOT,,,Exact,0,"Sturnella Vieillot, 1816",Sturnella,7PLT,1,Catalogue of Life,
14,Spiraxis,Spiraxis,306,314,5.09,1,NO_ANNOT,,,Exact,0,"Spiraxis C. B. Adams, 1850",Spiraxis,7PH9J,1,Catalogue of Life,
15,Spizaetus,Spizaetus,319,328,5.45,1,NO_ANNOT,,,Exact,0,"Spizaetus Vieillot, 1816",Spizaetus,7LG4,1,Catalogue of Life,
16,Sphenodon,Sphenodon,345,354,4.18,1,NO_ANNOT,,,Exact,0,Sphenodon,Sphenodon,63SJ6,1,Catalogue of Life,
17,Sphyropicus,Sphyropicus,369,380,6.46,1,NO_ANNOT,,,Exact,0,Sphyropicus,Sphyropicus,urn:lsid:irmng.org:taxname:1233208,181,IRMNG,
18,Sternus,Sternus,396,403,5.34,1,NO_ANNOT,,,Exact,0,"Sternus Lesson, 1828",Sternus,urn:lsid:irmng.org:taxname:1357251,181,IRMNG,
19,Stibadium,Stibadium,408,417,5.28,1,NO_ANNOT,,,Exact,0,Stibadium,Stibadium,645ZJ,1,Catalogue of Life,
20,Strebelia,Strebelia,422,431,4.56,1,NO_ANNOT,,,Exact,0,"Strebelia Crosse & P. Fischer, 1868",Strebelia,7PHJW,1,Catalogue of Life,
21,Strepsilas,Strepsilas,436,446,3.67,1,NO_ANNOT,,,Exact,0,"Strepsilas Illiger, 1811",Strepsilas,urn:lsid:irmng.org:taxname:1326524,181,IRMNG,
22,Streptostyla,Streptostyla,469,481,5.55,1,NO_ANNOT,,,Exact,0,"Streptostyla Shuttleworth, 1852",Streptostyla,7PHKQ,1,Catalogue of Life,
23,Streptaxis,Streptaxis,486,496,5.43,1,NO_ANNOT,,,Exact,0,"Streptaxis Gray, 1837",Streptaxis,7PHK7,1,Catalogue of Life,
24,Stypolophus,Stypolophus,501,512,5.11,1,NO_ANNOT,,,Exact,0,"Stypolophus Cope, 1872",Stypolophus,urn:lsid:irmng.org:taxname:1232174,181,IRMNG,
25,Succinea,Succinea,524,532,5.02,1,NO_ANNOT,,,Exact,0,"Succinea Draparnaud, 1801",Succinea,87HG8,1,Catalogue of Life,
26,Sula,Sula,549,553,3.50,1,NO_ANNOT,,,Exact,0,"Sula Brisson, 1760",Sula,7Q76,1,Catalogue of Life,
27,Syneda,Syneda,558,564,3.87,1,NO_ANNOT,,,Exact,0,"Syneda Guenée, 1852",Syneda,urn:lsid:irmng.org:taxname:1396800,181,IRMNG,
28,Syrnium,Syrnium,569,576,4.86,1,NO_ANNOT,,,Exact,0,"Syrnium Savigny, 1809",Syrnium,urn:lsid:marinespecies.org:taxname:1476318,9,WoRMS,
29,Synoplotherium,Synoplotherium,585,599,6.12,1,NO_ANNOT,,,Exact,0,"Synoplotherium Cope, 1872",Synoplotherium,urn:lsid:irmng.org:taxname:1130062,181,IRMNG,
30,Tachea,Tachea,607,613,4.35,1,NO_ANNOT,,,Exact,0,"Tachea Fleming, 1822",Tachea,urn:lsid:irmng.org:taxname:1111630,181,IRMNG,
31,Tachypetes,Tachypetes,622,632,3.55,1,NO_ANNOT,,,Exact,0,"Tachypetes Vieillot, 1816",Tachypetes,urn:lsid:irmng.org:taxname:1397124,181,IRMNG,
32,Tapinostola,Tapinostola,711,722,5.97,1,NO_ANNOT,,,Exact,0,"Tapinostola Lederer, 1857",Tapinostola,urn:lsid:irmng.org:taxname:1159170,181,IRMNG,
33,Tarache,Tarache,727,734,4.11,1,NO_ANNOT,,,Exact,0,"Tarache Hübner, 1823",Tarache,937509,3,ITIS,
34,Tebennophorus,Tebennophorus,745,758,6.05,1,NO_ANNOT,,,Exact,0,"Tebennophorus Binney, 1842",Tebennophorus,urn:lsid:irmng.org:taxname:1186082,181,IRMNG,
35,Tennentia,Tennentia,771,780,5.29,1,NO_ANNOT,,,Exact,0,"Tennentia Quadras & Möllendorff, 1894",Tennentia,urn:lsid:irmng.org:taxname:1348305,181,IRMNG,
36,Terebratula,Terebratula,785,796,5.30,1,NO_ANNOT,,,Exact,0,"Terebratula Müller, 1776",Terebratula,8G232,1,Catalogue of Life,
37,Testacella,Testacella,800,810,6.37,1,NO_ANNOT,,,Exact,0,"Testacella Lamarck, 1801",Testacella,7PJ8C,1,Catalogue of Life,
38,Tetrao,Tetrao,815,821,3.27,1,NO_ANNOT,,,Exact,0,"Tetrao Linnaeus, 1758",Tetrao,646SW,1,Catalogue of Life,
39,Textilaria,Textilaria,826,836,5.02,1,NO_ANNOT,,,Exact,0,"Textilaria Ehrenberg, 1839",Textilaria,urn:lsid:marinespecies.org:taxname:520966,9,WoRMS,
40,Thomomys,Thomomys,856,864,5.07,1,NO_ANNOT,,,Exact,0,"Thomomys Wied-Neuwied, 1839",Thomomys,7W5J,1,Catalogue of Life,
41,Tomigerus,Tomigerus,925,934,5.43,1,NO_ANNOT,,,Exact,0,"Tomigerus Spix, 1827",Tomigerus,7PJLX,1,Catalogue of Life,
42,Tomitherium,Tomitherium,939,950,5.57,1,NO_ANNOT,,,Exact,0,"Tomitherium Cope, 1872",Tomitherium,urn:lsid:irmng.org:taxname:1250995,181,IRMNG,
43,Tornatella,Tornatella,955,965,6.37,1,NO_ANNOT,,,Exact,0,"Tornatella Mousson, 1869",Tornatella,urn:lsid:irmng.org:taxname:1258668,181,IRMNG,
44,Totanus,Totanus,970,977,5.34,1,NO_ANNOT,,,Exact,0,"Totanus Cuvier, 1800",Totanus,urn:lsid:marinespecies.org:taxname:1453464,9,WoRMS,
45,Trichocephalus,Trichocephalus,982,996,6.76,1,NO_ANNOT,,,Exact,0,Trichocephalus Brongn.,Trichocephalus,7Z8N,1,Catalogue of Life,
46,Tringa,Tringa,1001,1007,4.50,1,NO_ANNOT,,,Exact,0,"Tringa Linnaeus, 1758",Tringa,8288,1,Catalogue of Life,
47,Tringoides,Tringoides,1012,1022,5.09,1,NO_ANNOT,,,Exact,0,"Tringoides Bonaparte, 1827",Tringoides,urn:lsid:irmng.org:taxname:1315526,181,IRMNG,
